Player_ID,Nome,Nome completo,Posição,Overall,Similaridade
222724,B. Manuel,Benson Manuel Hedilazio,"Extremo, Meio campo",74,0.8862462369990041
234824,Y. Wissa,Yoane Wissa,"Atacante, Extremo",77,0.8861365203117256
208574,F. Kostić,Filip Kostić,"Extremo, Meio campo",83,0.8858039426235297
229906,L. Bailey,Leon Bailey Butler,"Atacante, Extremo, Meio campo",79,0.8848051371932307
220834,Marco Asensio,Marco Asensio Willemsen,Extremo,83,0.8848008477479201
235353,I. Sarr,Ismaïla Sarr,"Extremo, Meio campo",76,0.8825035852440025
251421,B. Johnson,Brennan Price Johnson,"Atacante, Extremo",76,0.8821608932168928
188152,Oscar,Oscar dos Santos Emboaba Júnior,"Extremo, Meio campo",78,0.8812888349021886
231677,M. Rashford,Marcus Rashford,"Atacante, Extremo, Meio campo",85,0.8797722552634354
240950,Pedro Gonçalves,Pedro António Pereira Gonçalves,"Extremo, Meio campo",82,0.877440499465698
216388,A. Saint-Maximin,Allan Saint-Maximin,"Extremo, Meio campo",81,0.8769570356685376
227796,C. Pulisic,Christian Pulisic,"Extremo, Meio campo",79,0.8761178990055749
230142,Oyarzabal,Mikel Oyarzabal Ugarte,"Extremo, Meio campo",83,0.8751697635124351
190813,S. El Shaarawy,Stephan El Shaarawy,"Extremo, Meio campo",78,0.874273540246348
246791,M. Solomon,Manor Solomon,Extremo,77,0.8720907075994825
208618,Lucas Vázquez,Lucas Vázquez Iglesias,"Extremo, Lateral",81,0.8711141984838509
240273,E. Smith Rowe,Emile Smith Rowe,"Extremo, Meio campo",78,0.8702374882038432
200315,Cristian Tello,Cristian Tello Herrera,"Extremo, Meio campo",76,0.8697905941340565
225997,B. Verbič,Benjamin Verbič,"Atacante, Extremo",72,0.8693667994943153
252931,L. Ivanušec,Luka Ivanušec,"Extremo, Meio campo",76,0.8685546492067585
236477,A. Claude-Maurice,Alexis Claude-Maurice,"Extremo, Meio campo",75,0.8663897023574764
231448,R. Nelson,Reiss Nelson,Extremo,74,0.8645941454019673
183898,Á. Di María,Ángel Fabián Di María Hernández,"Atacante, Extremo, Meio campo",83,0.864090336302252
252238,A. Velasco,Alan Agustín Velasco,"Extremo, Meio campo",75,0.8640794561544732
225783,S. Mavididi,Stephy Alvaro Mavididi,"Atacante, Extremo",76,0.8624123181380469
234742,H. Barnes,Harvey Lewis Barnes,"Extremo, Meio campo",80,0.8617501686681779
235794,E. Eze,Eberechi Eze,"Extremo, Meio campo",79,0.8616681918236636
221445,Wu Lei,武磊,"Atacante, Extremo",72,0.858861184161069
225733,Cesinha,Cesar Fernando Silva dos Santos,"Atacante, Extremo, Meio campo",75,0.8585373772898602
